# Pathway HUMAnN v4.0.0.alpha.1	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
PWY-8011: L-serine biosynthesis II	101.3466085166	374.5184983872	52.4922169292	207.1525605566	67.9736386839	28.2306574820	25.5850771460	46.1598033688	16.6676076791	186.4220465764	29.7930891234	35.6413894035	8.5380612806	0	50.9819187111	33.1361251730	80.7327808050	41.5512743845	42.1536993964	14.6331199731	99.2324407862	12.8378063389	45.1874383858	64.8288213840	0	32.4207259668	0	40.4973858115	44.0549149772	0	428.7341111923	55.0099046808	47.6453907063	107.7992473579	31.8839577799	73.3695003550	0	55.0942436978	0	178.0536760791
PWY-801: homocysteine and cysteine interconversion	482.0166419504	108.4977085215	486.8640246654	1893.2117354118	2206.6571241227	1852.3729969555	0	545.9268878709	111.3759871849	226.2948691409	349.2761457972	169.1498022412	13010.4973537029	1400.6214926411	732.4828996250	335.3134892354	581.0289992330	125.6812745172	392.8579261448	129.1907680239	237.3289759946	1959.8749094382	268.2343930851	264.4139652430	3148.2769673497	246.7314985726	352.4405320225	2401.8919484072	1765.8099980480	909.7563868814	2735.0801962895	0	296.0398417581	82.4241131693	784.8320778265	37.7356625470	3632.7843175889	1499.5181955157	561.2457204995	114.3721836099
PWY-8052: 2-arachidonoylglycerol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292.7285569740	0	0	220.4696378122	0	0	0	86.7637157251	0	0	0	251.9344042627	0	0	0	0	0	0	14.4189385457	0	0	0	0
PWY-8055: palmitoyl ethanolamide biosynthesis	78.2152227257	104.7109765973	95.0143196884	0	0	317.0880319194	0	0	47.2812353870	0	31.1561554714	27.8159875060	0	0	0	0	0	34.6369632624	0	22.1036427341	0	0	32.1741472954	0	0	76.4588421754	0	0	0	0	37.2642012873	0	97.9277874608	0	0	0	0	136.9201485997	0	0
PWY-8073: lipid IVA biosynthesis (P. putida)	7449.3912357410	14697.7915443031	3028.4005616537	7436.5975993232	5540.5340754721	13523.6733660686	1611.9572226751	2600.2945570707	5399.0989335085	1438.3794586874	7943.9516692966	4971.7822931536	11172.1228005478	230.6651112806	2160.4531834494	1290.1445709565	7992.0688280363	2839.4417755984	2568.2000921393	10118.3599756397	585.8600697487	1918.9693604486	5850.9524085539	3717.5164205541	3462.9294846950	8397.9070015773	5745.9094519499	11443.0706746356	2634.7446683931	3527.1146087728	428.3885773410	3649.6593501177	4632.1400818167	5307.0729144244	1219.4261475446	4528.4610886831	4502.4669707794	13104.5431340913	16760.1119154713	4379.3774833471
PWY-8085: picolinate degradation	0	0	0	0	0	0	0	0	0	0	0	0	32.4521972629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8086: (S)-lactate fermentation to propanoate, acetate and hydrogen	8458.2777833913	11087.5189814661	3931.4424320631	13857.2087657750	7436.1272889064	15637.7699628342	3062.2537802997	3146.2916923343	7826.4814758055	1766.1079359948	8201.1091678822	5444.9258913821	7906.7762512564	239.9599789379	2486.4460299304	2416.7862573877	9534.0265679247	3003.6685666193	2890.7928257374	8739.8997920217	487.6775673214	793.9544270336	6014.6967516347	6202.9897720958	5431.5810747329	9155.4189652116	6989.3111031388	14429.0808280162	2128.7177893853	4413.9936659856	856.9735953048	3726.9402358696	6434.0662652802	5954.0551728412	775.4650768835	4428.8527603070	3841.9345109374	16203.0694100327	17860.0644917267	2520.6982509611
PWY-8112: factor 420 biosynthesis I (archaea)	0	843.3250825549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8113: 3PG-factor 420 biosynthesis	0	759.0041849894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8125: mevalonate pathway IV (archaea)	15.0180180972	776.9695923315	0	43.5272992003	0	30.2232179670	0	17.1343799281	0	0	49.6298502145	47.9060656949	0	44.7885916555	90.2556766042	11.2461991393	25.6660077582	25.4611330896	14.3073901027	0	11.6826314992	21.5289107653	18.4406697243	0	0	20.8196077327	0	0	0	9.2134377286	0	66.7455496963	0	24.2129856850	46.0475497681	0	17.9723202644	52.4907587250	0	95.9846201473
PWY-8134: bile acid 7&beta;-dehydroxylation	0	55.1031283698	0	0	10.8925412461	0	0	0	12.8889913092	0	0	16.7457663149	0	0	0	0	0	0	0	0	0	0	33.2630218689	0	92.2183396509	0	0	0	0	0	0	0	0	0	33.2651573749	0	145.7935710349	0	45.7562937089	0
PWY-8173: anteiso-branched-chain fatty acid biosynthesis	192.4791608115	0	281.9676680690	412.6877023680	280.3989562569	2465.0241012215	0	0	0	0	0	151.2034234584	87.9017940507	0	0	0	0	0	0	0	0	0	352.9700499979	0	1325.0408697349	0	0	0	0	0	620.1171372375	0	0	0	0	0	0	250.8982902538	0	251.3772020442
PWY-8174: odd iso-branched-chain fatty acid biosynthesis	183.3632674459	0	268.6340510545	393.2163073258	267.2354115097	2354.9191157761	0	0	0	0	0	144.0685599075	83.7318614032	0	0	0	0	0	0	0	0	0	336.4369580638	0	1266.1439939438	0	0	0	0	0	591.2875899048	0	0	0	0	0	0	239.0251795596	0	239.4741618147
PWY-8175: even iso-branched-chain fatty acid biosynthesis	192.4791608115	0	281.9676680690	412.6877023680	280.3989562569	2465.0241012215	0	0	0	0	0	151.2034234584	87.9017940507	0	0	0	0	0	0	0	0	0	352.9700499979	0	1325.0408697349	0	0	0	0	0	620.1171372375	0	0	0	0	0	0	250.8982902538	0	251.3772020442
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	45442.1531481454	47194.8198804093	56267.1458518033	62720.4262736187	26348.8606531474	52479.6235406561	31620.9858105770	27510.4479974689	26569.2687339206	32258.8135633855	23723.1747393261	26289.5459626839	42632.9255667044	30967.0430411981	32065.7444417295	48061.1917021144	44049.5474123040	28424.8869058790	26546.6557932130	21593.8591701744	34293.4870779651	31604.0247263945	29824.3439658368	29703.4420878429	29259.8172870268	25140.0939796446	27469.0315797429	49683.4156162217	32829.7625746290	26763.5206626171	31728.7037440002	27389.2161695081	26584.9820524823	26917.3317376698	36001.0359619500	28416.0608240713	54660.5360052492	54050.7668997604	45841.7992039034	66460.8401800798
PWY-8181: 2-methyl-branched fatty acid &beta;-oxidation	0	0	0	0	18.8219673257	97.1150505993	0	0	0	0	0	123.4030105527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8182: valproate &beta;-oxidation	38.4891731883	62.4483592904	28.1099140026	557.0696212979	21.6290470805	1778.0616509124	0	0	0	0	384.8679403647	238.7188812654	0	0	0	0	19.4574494520	0	0	0	0	0	0	230.3345079865	0	0	0	56.1404342920	0	0	691.9616338825	0	0	0	0	0	0	30.2714818386	0	0
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	17661.8422716750	11991.0074133643	5217.7329804775	5788.4153736073	3985.9002439032	10057.2581878679	1150.8442395538	8710.1644889944	6950.1830908682	3351.5895813454	4867.4131929898	13570.5069142075	5899.7208422431	2409.5450273978	2743.1306635220	1585.0314984990	5561.6772366874	3985.9975935721	6109.4912546125	6729.6653989077	2130.1275596883	4676.4018334534	2469.3056858861	3675.9592395801	7776.2859878308	6102.2780048596	3344.9921652684	10471.3608667895	8158.9337208727	2464.5229661681	4286.3093213185	5727.0193891701	2200.9071862698	3233.6817269163	2250.8726360111	2907.2340525149	3587.8137690730	10800.0259898937	8720.7302099792	6361.8677155299
PWY-8188: L-alanine degradation VI (reductive Stickland reaction)	3207.5366073462	505.4901546023	147.5349978330	56.4824925270	1010.4211590687	733.3118821095	262.6973758024	1049.9489600807	85.1298685779	2228.0589858425	223.8617234242	547.4104573381	0	1000.1249766271	1422.9337834151	94.5098279451	1161.2875155091	299.5021596490	105.7924766778	177.6796603014	53.1145046422	72.6718627498	172.1501694342	158.8577274052	0	197.2997760541	262.8495459042	1821.1707793264	178.9232088611	1250.7759423930	1001.1699003181	1510.8920385832	557.5404328702	407.8603409893	1251.7155462416	1084.4249039318	3046.7933829586	300.4492575434	441.8048791674	4085.8932109782
PWY-8189: L-alanine degradation V (oxidative Stickland reaction)	3207.5366073462	505.4901546023	147.5349978330	56.4824925270	1010.4211590687	733.3118821095	262.6973758024	1049.9489600807	85.1298685779	2228.0589858425	223.8617234242	547.4104573381	0	1000.1249766271	1422.9337834151	94.5098279451	1161.2875155091	299.5021596490	105.7924766778	177.6796603014	53.1145046422	72.6718627498	172.1501694342	158.8577274052	0	197.2997760541	262.8495459042	1821.1707793264	178.9232088611	1250.7759423930	1001.1699003181	1510.8920385832	557.5404328702	407.8603409893	1251.7155462416	1084.4249039318	3046.7933829586	300.4492575434	441.8048791674	4085.8932109782
PWY-8190: L-glutamate degradation XI (reductive Stickland reaction)	1336.5381375632	2070.8666916327	1718.9300669957	3628.6157478333	1233.2727574306	1305.8587632953	915.0945663830	460.4497957712	723.7488668810	898.5839324822	760.2575943934	939.0584289145	146.5269684471	126.5405274388	836.1860779230	524.2519556842	829.8210249965	687.7123494290	355.2922636798	1306.0971956402	117.7304720066	445.7310320495	1144.5829098132	998.3199205225	1211.0450998039	417.4699589401	356.2238537098	2400.1412183539	934.1031024229	184.9086990397	476.5590143445	1015.3409390619	1058.1603614847	803.6193391503	929.5535876922	1638.9839437067	986.2241253671	1806.8938292121	572.5012698587	2349.9545398954
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	10865.6527649833	8916.5466747315	9266.2599452499	7259.6082501593	7733.6025555395	10764.6102993828	6018.7466632868	2959.1873361887	4275.1333033190	3918.7722326028	3850.7602263861	4508.4270297224	17131.6594317513	813.2747872154	3575.0857825390	2854.1767882574	7702.7645528698	2360.9745449512	3181.9408058740	7594.3040342162	1336.2063083750	7018.1018926459	9223.4021197811	4510.0887191372	5813.9605507040	3683.2869123319	5546.5083006458	11560.9060402387	5958.0648460420	613.3215892917	2327.9281022932	4392.5050006833	3547.0226185276	1230.6156187782	2266.0164292972	4473.6249266896	7897.9846500727	12171.8299133322	3697.3201314591	2750.5989049820
PWY-822: fructan biosynthesis	1171.5890275090	1264.7037714249	2079.0224860240	526.8001697861	732.9799636011	1646.4458264560	0	1121.9192694756	786.2590863551	0	780.0223068111	478.8367265772	182.8570156404	1961.3575603309	2598.5581126286	148.3218367897	2460.2007898932	1037.3285115581	680.7295609246	1259.4767380321	1485.8063912775	657.3666252672	18.2277939040	3366.6488318071	4002.3778550767	405.0929650743	631.0060020961	1930.0183083907	1042.3848959988	1540.2477763990	1696.1754815322	922.5772853558	538.8360462432	445.8486298478	1478.5259489466	1414.9826513683	2793.5139605276	989.4658618201	879.2530486398	2436.9562719479
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	21995.8905360821	22593.8422195355	11132.0834219285	30050.0049706228	12300.3091701589	27202.1016918321	7002.7005991456	14106.3086709010	14648.4798707287	7843.6057955196	14030.9288449060	12199.8691053020	21979.5032020323	7652.8181153076	10554.9216711346	18374.6586085128	21423.3111335772	9083.6189010287	10400.1373853019	14862.8868271067	7957.2396884359	10285.7364097174	15869.3723607088	10904.7373243287	18126.4591460234	14718.5131097235	12855.4007058833	26186.2053049920	14494.7749008185	11301.6925500069	5842.0443728051	10855.4033318243	9395.8194107075	12618.0676590096	10588.7771479606	10949.3601195713	19482.4203849994	26510.0495346589	27976.2675244061	20648.6009187619
PWY-922: mevalonate pathway I (eukaryotes and bacteria)	69.3329453727	184.8371386418	53.2095138720	172.4085167376	135.7025107094	379.4424927321	30.5036942390	121.7296536261	83.8149201336	45.4806053305	282.6687055576	372.6271973863	0	1373.3871494895	1007.4895379585	109.0557919219	127.4872808120	167.8322524876	321.7293847353	132.2857720219	564.1827771434	569.1184063709	40.2089649626	91.3701166399	3449.7275684687	59.7421207729	92.3279408424	184.2886223760	372.3690303800	815.8832712438	31.3755302899	196.6209009519	19.5854654350	26.6879695187	1086.9771077534	60.7088112168	656.2332206414	546.6491977195	35.2746827453	1875.3069235387
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)	17729.4405593303	17151.3656807271	27587.3403642400	30953.4550698115	13416.4547259424	16092.8140532995	21621.0776143110	20319.5618119029	14348.7964333089	14975.0920692526	12602.7898257205	14019.4995686032	25072.8087984023	28183.2225881592	19498.3192529112	16661.2107231861	15187.5134304106	15824.3952159194	17865.7915572019	5138.2865860196	29043.9445064544	20354.4698300058	17306.6180660510	15116.7812309416	18649.6913622045	11943.2247539659	9141.0101627350	27404.6787264310	18785.9418727468	10955.3970576753	24761.2679165956	12313.2004434399	10256.7828142437	12593.1915758076	22557.0401467819	10840.5714969193	39207.7829594827	26152.6657745860	18470.0636247137	45116.7234278697
PWY0-1061: superpathway of L-alanine biosynthesis	22744.2981247964	20464.0147319972	23401.4398092750	27727.7779091563	12389.0480825092	20803.8700075175	18782.2081346248	19631.0547864620	11938.5802390521	14246.8970218278	10717.6446976052	12983.8864503763	25637.8456029299	23277.7148424254	18318.6617665296	16250.0116996850	17388.1453114904	17307.7164695974	14377.9101944950	7913.7949517310	25240.6154108777	23263.3684365159	12410.6717829807	11720.1899487146	15737.8285303848	10656.0419570862	11433.1866721953	23274.9231963807	17372.9784658324	14051.8706786024	21055.3055095707	12470.1751378331	10300.1239481619	12590.9109957816	18556.9399948840	11388.0792107773	34252.3692226417	24565.5383524448	16193.1321185348	35779.5940575860
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	5090.6115388966	2701.8690513695	1437.5962220706	4848.4817455173	3028.8982236070	4396.6555712089	1873.0331245176	1312.9671304720	2280.1815344270	1360.3346648284	2118.7500175022	1990.8392653658	10734.7268855594	227.9973231994	759.7828174686	1846.2659587045	3518.3042052674	1331.3554137258	1296.9088264663	3464.6470677988	371.5123679600	2158.6311937789	3337.2619098389	1616.8114921018	1355.2711725617	2637.8775290458	2173.5300597982	3549.5626629862	2215.9845398642	979.2035267693	406.9444904834	1399.9131285959	2935.2076552439	2358.9439238204	978.5104634093	2015.8190809041	3689.9855617893	4860.3003732662	4166.9107352693	7247.3101337448
PWY0-1261: anhydromuropeptides recycling I	5541.2881492926	6885.9208258805	4581.9937894892	11637.1971997823	5826.3072236281	8056.3601239873	2639.3581154633	1502.6754390845	4962.4868251259	2212.8040323280	4091.6655815482	3573.9878063448	15311.4814781798	1347.3645307661	6832.8261267389	1821.6405491415	7572.2828025118	2946.4807202890	3873.6719802849	3953.1949217181	1299.5991109524	3849.6980658442	3133.2865719873	6235.5655380212	4930.0998590176	4697.4244167213	5884.4963827811	6445.0336861435	2311.0042950049	1911.4034797273	4901.8927035392	3750.2657324817	4556.0246464699	4716.1490603731	4299.9061744643	2490.8839377750	5795.0493050169	9094.7677160999	8216.8415267254	8531.2660693384
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	557.5149435986	162.0319411980	533.5244458488	2334.5970933536	2483.6018399164	4004.1409842909	27.0651446355	175.1640851051	90.6532942281	190.7585590397	791.4592557545	287.7001605001	9280.9634300692	23.9935958639	192.5999374094	680.7683931133	382.2043737227	245.2613565415	0	95.9796309464	205.4453090067	4731.5674693088	546.1870721154	490.8039088223	1010.0528741099	316.8174019447	842.7646362056	2385.3895766346	3341.4311187274	0	0	0	417.7014944263	97.6148059696	409.5248956044	33.1701880807	3941.4087895939	3045.4475100470	1382.7470767056	273.2385173066
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	26088.7493104529	21476.0129025458	20188.0133968180	27005.8257992709	12136.6267435108	22258.7603810914	16143.4942674702	12921.9935236239	14115.9635699794	15050.9209946084	9723.0333860159	14375.0103802367	18386.1636780086	15870.4734344242	14807.9831134208	15062.4922115772	20144.0115710815	14823.2250345348	13367.1947269732	7509.7308751825	19518.2056509707	21808.7919792572	14556.0990673988	14100.0402348120	16943.9682734271	10560.4594244775	9504.6431314097	21326.3727122611	19931.1367258845	14163.8594184315	18900.9315751096	12794.7384738446	11858.1182314786	11136.9760200404	19396.5956330809	11138.7813494041	31533.8218406410	22483.2485862319	18799.3747458973	34349.2804586985
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	27471.2717070568	30033.1583313091	38354.1074791471	36655.2530202462	15174.6688494772	26720.1595461259	19603.2024456013	12494.7154554593	14492.1259044424	23953.6903413764	12164.6860142698	15538.1681937686	17451.5060773287	14887.8089683936	20292.1074132259	28334.3607020528	23389.5549727163	19327.9552670950	15993.6959161307	12883.5469489406	18891.0892756803	21253.0652914492	16258.2878019343	16729.9025848683	18981.6395425348	12799.0028125427	17492.3765990182	26964.3822646311	18137.7860690268	20769.4661303048	20419.5254271747	18242.6520389446	12551.1558947585	15257.1222044640	19081.2396448581	20673.9643154595	31157.9696555949	29084.6364700854	19623.6258240891	34234.1794596938
PWY0-1319: CDP-diacylglycerol biosynthesis II	38590.0408262349	41556.7005601029	41247.1976625171	46788.1025139902	24352.6783035526	44584.6908414691	23708.9666238246	23422.1260254320	21238.2537548031	24370.0885145094	22110.5201647041	21209.8877313207	37223.9626286977	18704.4902976644	23827.3138459536	27973.1797277523	33026.2150639612	22564.5212036007	21771.4846562600	17857.9351927106	22957.8925173046	28144.1831527123	23627.1489713312	22691.3033727982	21733.5465864017	21855.3268645613	22892.4390304608	45967.6834717597	28931.6265408114	22362.1863883263	27593.6431269925	22623.2024950574	21263.8007765959	20850.7048268600	26404.0975297025	21211.9873970466	51110.8374059702	45231.2409222990	39785.9780318930	50007.5586025483
PWY0-1337: oleate &beta;-oxidation	638.3405186213	124.6514322359	713.5336611626	2350.8728503842	2909.7222696635	3746.0394249234	0	712.0825451507	138.5342263303	247.5115554595	411.4033301763	329.3423982084	14095.6774536546	21.8627212691	307.1010340718	532.9799854661	470.8611451119	237.8879124544	29.6131555285	125.6247779690	263.6778545720	4099.4428489609	361.9204333279	466.5000495470	728.7808973095	376.8421202723	544.9095252327	2860.4011950299	2092.1395315180	0	0	0	519.4675639373	180.9185724503	549.0342890777	0	4000.8722097103	2252.9148881917	766.0282047835	174.8384906092
PWY0-1338: polymyxin resistance	273.8416960609	82.2271937176	314.7765660619	1408.6923056486	1729.3896115551	2667.5780699777	15.5234471761	315.3380566384	71.6147570756	120.3313741820	212.9762948962	130.7581276264	8476.7774849674	25.4479059721	118.6684473987	225.1541261883	371.2016352597	99.8045875824	15.2120508183	60.6404238103	158.7582564273	1893.1173550464	118.9691194059	415.8567121782	401.8107743944	150.0701122974	250.1770048567	1566.9095232328	1016.8154554067	0	0	0	324.3526565841	60.7578843642	267.8171298871	21.7508039203	2066.6133937283	1539.2755898177	429.4692930723	119.1295017175
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III	713.1295537351	414.2359257155	529.2342302859	3134.4646301075	2006.4302207005	2949.6522922315	279.8121949636	553.5733744007	231.3249984009	398.7063138114	502.8737350549	357.9532490183	8718.6751025218	171.3849128209	278.7331480713	363.5677015018	518.9472416819	259.8876039876	332.1396889264	162.9970685029	299.8534747163	2436.4965181777	357.2315612593	427.9664083220	1014.1514100868	178.2729990516	431.9749316894	1902.2862584771	1626.2344121205	0	136.3483300790	187.1967931236	448.4952128158	593.7447960610	664.0904397019	678.1624003299	2793.1823008037	1680.5420555722	977.1017980014	1536.1658882221
PWY0-1477: ethanolamine utilization	24319.8187099533	17841.2772078855	16485.6161272212	23472.0757244575	10056.7479387551	20386.6602362086	17778.1785926483	17214.5465574764	12612.6053791732	8225.2842461429	8925.8686190537	14264.6861912497	34437.4040426498	21121.3225918212	13761.5299343254	11551.0452316960	18178.2400359558	12093.1598088244	12462.3508955585	5886.3146363532	21623.0857211379	16163.1528141478	19861.6594052148	12759.2838292739	15044.3978454314	9319.0370173975	7437.4493763880	18347.3728456451	24464.5936474141	8944.5790444499	18863.6620218233	10888.4517925767	11587.0729752033	9811.6434778849	19873.6370715241	8323.3415243882	35367.6052314064	20846.7324778966	17429.1623740775	37405.2269909992
PWY0-1479: tRNA processing	11995.8431398896	15978.3604495044	19185.1586633284	22147.7048936229	14334.8808277053	30666.0586708162	5203.5742385572	13817.9414580924	10162.6134253843	13796.7574993775	11566.7408587552	7537.1912257470	42191.6706823634	6880.1321183883	12347.3502967893	14185.9106318573	18802.0793040808	5537.2763879764	4579.7962977331	8670.9757531942	13270.0423484505	10927.1913593324	5068.1477842232	12132.4715556100	10145.6476032574	11756.3575638753	11383.2462297857	30651.2864235885	13375.9328898221	8876.5311944579	11001.3521324236	11471.6674397573	11983.4929908739	10243.4779177324	7234.9488865320	7400.2754979117	24434.8067198318	26210.0239836068	22676.0275611816	42531.2368812658
PWY0-1533: methylphosphonate degradation I	593.5613297904	366.3099940885	502.8594170475	1715.4049865785	2011.5053232818	3021.9225528315	22.6778503621	506.7471601367	72.4727087384	300.8614523508	327.7614360626	219.1914854618	10881.5188717472	15.5114077240	140.3575735485	281.4177760413	441.8299945239	144.1456164408	33.4388974802	174.9656214793	158.8098510074	2399.8699769884	217.7120955103	469.7713156876	647.4021737660	276.8492577881	277.7154780951	2078.0676445033	1537.4877888981	0	58.2318739357	13.0954131275	369.3343953455	274.4464148447	298.8201447555	49.7424075154	2772.0148404349	1678.4311907814	638.3469774064	195.8062454998
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	64305.1446547545	76561.6150509525	85436.0825745233	95763.8384353193	46138.2220084301	82681.3544603134	48629.3572961641	48464.0341883939	43469.7804385693	44586.6205724480	42142.0890419122	31347.5461530350	87557.1161733047	60938.4465622850	50814.1828876234	74161.1950722876	66989.3509103450	41149.1216417754	40460.0328828156	33430.5147570280	59709.7978826892	49643.8422362770	50986.1081870068	48238.9481829381	49560.2375045196	43876.9714593435	42685.2625621770	81725.4106783346	50805.2841948481	42757.2771016788	54750.3314497423	43044.6825998034	37359.4954604862	45056.7163551174	58663.2520515314	44243.5657371631	100229.3873912945	87506.8984508735	72297.6801759815	104840.4658591508
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	22936.6212429612	25741.8926611724	14971.9710168356	30875.0413391675	11424.9165483760	26022.6209304907	11407.3950496044	20451.1742133458	14661.2354856020	7157.5669278636	13418.7185679986	18012.8453446030	23064.7218630257	17267.4484907969	11681.6577481436	27330.6068776565	20514.0314593749	10972.8948433712	11626.6014383979	19575.3994220510	18815.2305310444	9927.0275695347	16485.6949962194	10275.2605208807	17865.2724609769	15076.8508634303	12105.9921488411	25046.6221028554	14058.1387795757	10561.1677349362	18095.0405902530	10296.5871775777	9955.3548453086	12020.6066311848	13988.0882468565	10357.5174164710	30319.6777087531	25272.1379427131	27926.1112454891	33220.7237014764
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	12417.6037077606	12347.8034840298	5190.1103807846	18023.9267380803	7247.7825932912	16256.3198440194	3427.1166501719	8919.8961252170	9170.9334426247	3838.0186775472	8809.7012323133	7022.7125201365	17763.3228526772	4125.6769853493	5795.0714815016	13683.4913031111	12253.7532038950	4732.9803176109	5532.4564354211	9459.9253708574	4214.6667039723	5849.5494261519	9877.2861024192	5601.8347175420	12986.8382671297	9596.0568222609	7100.1493893038	16146.9685456639	8496.4822435562	6099.6004761916	3211.1235088563	5690.0643406202	4774.7858526835	7540.0700060491	5487.9934665660	5727.0155936229	10948.2751893641	15991.9064318906	18370.8363206678	11386.9259282841
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)	852.8962575022	150.2019664033	786.0631868609	2940.8122927857	3580.0564684824	5001.1180920121	14.5305540515	1055.2273707888	322.2195326137	294.9986281886	662.7797305047	360.7748801266	19379.4144223366	92.1157633501	594.5074410031	613.0212213570	1120.6998389745	365.9554527366	70.8439605273	266.8297927480	457.7239734929	3640.2685784412	625.0987827296	825.5635516875	893.6529216134	386.3523194801	505.9769137244	4766.7866405783	2514.8643302275	0	27.8856255531	14.7332679200	1028.3477169575	184.8576888940	752.7113120941	106.2999140538	6193.6640791993	2697.7199856491	1135.7492420351	1421.4912459117
PWY0-321: phenylacetate degradation I (aerobic)	318.2941716272	82.7466946091	347.9361082523	1163.4420011447	1521.9083264107	1878.0611287989	0	349.5183635917	56.0982964999	105.3206982970	230.7041225130	66.9978703421	8766.3375674150	0	104.8843748848	210.9804299034	82.2218012420	88.6014621428	29.8986169975	59.1190941514	107.9947465298	371.7570489044	216.4679877014	168.7481859888	230.2830416459	132.2066623525	259.3193318494	0	869.7513283714	0	0	0	48.4229975475	69.6432264431	252.5901358940	0	1854.0795257585	874.9961533797	484.1675860749	126.9619091625
PWY0-41: allantoin degradation IV (anaerobic)	281.4629251659	71.7275535900	276.3465468906	596.1894415968	205.3620093173	557.9638944976	0	313.9523112793	74.3050198324	102.5616593903	151.3296243471	83.6178038377	2306.7021670572	0	148.7503116890	92.5482814111	0	108.6253651778	0	63.1939538136	178.1947808499	478.4774782752	167.2121187019	96.6504495157	397.2319558656	158.7983625644	131.2749026199	360.2773150500	560.8217580633	0	18.5501900767	0	43.4540749966	61.6600548122	261.5532554134	0	800.5075673150	386.5071735531	260.8185183605	43.3380779122
PWY0-42: 2-methylcitrate cycle I	229.8616422139	64.4362722446	248.3747815050	1009.9948216314	1128.2697079359	1214.3694828585	18.6705720833	317.6805121152	52.8185922821	97.8851801849	177.6872678674	120.7087533925	7174.2761536359	22.7900271869	120.0011127029	177.1978060177	48.3465499904	76.4067368845	21.8683494765	50.0974160393	101.7712491491	1541.8988101804	156.5358054734	163.4851242390	304.0518197022	130.3185871567	162.5116377259	1180.1314675889	860.7607113100	0	0	0	160.7023872106	58.2248819751	157.5490328306	22.8111221820	1500.1276549887	934.4595751680	346.8120213243	67.2147534666
PWY0-461: L-lysine degradation I	247.3178098592	49.7748711968	328.9734338657	1074.9028217741	1291.0987464184	1623.9754677465	0	296.7950003630	43.6476609152	113.5511397855	165.0831545142	108.8278494607	7826.3893991145	21.7774459415	144.6206081547	193.3487669096	231.3249227543	76.8441749129	12.0494336094	55.1100104853	131.3834288144	2041.6340511431	180.9701951715	235.5976406087	293.7564957197	143.7386063264	200.9795358840	1155.2439622927	829.3054399339	0	0	0	190.3489569504	61.1478208432	213.6068991656	25.6599600374	1769.2497690033	983.5337522948	301.5293729023	71.2812315793
PWY0-781: aspartate superpathway	10485.0869079985	10947.3631136157	15868.0414543811	15322.7300978635	8789.0259750284	14305.4071496521	5342.5084580677	7537.8086889255	1200.1840578974	5677.2914376706	4217.1717301855	2790.4635304100	20816.0486217128	5377.9284755815	5881.9026703427	5714.5822569908	9960.2185925350	8276.4447603060	8397.0727696141	4555.6008685463	7853.8302876550	8708.9975113988	2025.8512348035	7034.0486424503	4776.1036548842	5648.7329542995	4367.3842193540	17949.8041334797	6472.7105258970	2450.1948719699	12408.2907319882	5543.3452947489	4917.1317227065	5193.4425783714	11535.8890236489	7630.0760125652	19580.6548641440	14435.1188145938	10716.5048218981	10273.4285864812
